time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-12-31T22:41:35.180Z,20.1371666666667,-155.8035,22.05,2.58,ml,38,152,,0.16,hv,hv72852907,2022-03-05T23:11:00.040Z,"10 km S of Kapaau, Hawaii",earthquake,0.61,0.85,0.178909028729578,7,reviewed,hv,hv
2021-12-31T22:32:00.900Z,20.1271666666667,-155.800333333333,21.09,2.8,ml,50,151,,0.14,hv,hv72852902,2022-03-05T23:11:00.040Z,"11 km S of Kapaau, Hawaii",earthquake,0.53,0.84,0.131479059417938,18,reviewed,hv,hv
2021-12-31T19:32:44.970Z,19.2233333587646,-155.426162719727,33.310001373291,2.49,ml,41,130,,0.119999997,hv,hv72852792,2022-03-05T23:11:00.040Z,"5 km ENE of P?hala, Hawaii",earthquake,0.46,0.589999974,3.87,18,automatic,hv,hv
2021-12-31T13:02:47.630Z,19.1703338623047,-155.48567199707,31.1700000762939,2.42000008,md,34,94,,0.189999998,hv,hv72852582,2022-01-01T02:48:34.273Z,"3 km SSW of P?hala, Hawaii",earthquake,0.62,1.10000002,0.300000012,17,automatic,hv,hv
2021-12-28T16:07:17.500Z,19.1648333333333,-155.474666666667,35.68,3.13,ml,44,154,,0.1,hv,hv72849422,2022-03-05T23:10:48.040Z,"4 km S of P?hala, Hawaii",earthquake,0.44,0.52,0.219474884395578,35,reviewed,hv,hv
2021-12-28T05:51:11.750Z,19.1696666666667,-155.494166666667,36.74,2.93,ml,48,98,,0.11,hv,hv72849052,2022-03-05T23:10:47.040Z,"4 km SSW of P?hala, Hawaii",earthquake,0.45,0.51,0.153383814079624,33,reviewed,hv,hv
2021-12-25T15:32:44.900Z,19.2116666666667,-155.435666666667,33.98,2.94,ml,50,130,,0.11,hv,hv72846107,2022-03-05T23:10:39.040Z,"4 km ENE of P?hala, Hawaii",earthquake,0.39,0.53,0.169587373538792,37,reviewed,hv,hv
2021-12-25T06:59:11.330Z,18.8561666666667,-155.192333333333,10.86,3.92,ml,45,263,,0.12,hv,hv72845717,2022-03-05T23:10:38.040Z,"47 km ESE of Naalehu, Hawaii",earthquake,0.64,0.83,0.165861775497279,36,reviewed,hv,hv
2021-12-24T11:31:34.390Z,18.8698333333333,-155.234,11.89,4.87,ml,47,261,,0.12,hv,hv72844817,2022-03-05T23:10:36.040Z,"42 km ESE of Naalehu, Hawaii",earthquake,0.55,0.72,0.176054570504694,39,reviewed,hv,hv
2021-12-24T09:59:55.900Z,19.2078333333333,-155.433666666667,33.59,3.23,ml,49,134,,0.1,hv,hv72844737,2022-03-05T23:10:36.040Z,"4 km E of P?hala, Hawaii",earthquake,0.48,0.53,0.209137802291867,36,reviewed,hv,hv
2021-12-23T18:04:03.120Z,19.1520004272461,-155.482833862305,32.5499992370605,2.26999998,md,38,145,,0.119999997,hv,hv72844222,2022-01-07T21:49:19.225Z,"5 km S of P?hala, Hawaii",earthquake,0.45,0.839999974,1.28999996,20,automatic,hv,hv
